x,y,z,s1,s2,s3,s4
-7908,-4656,-11752,63,53,73,52
-8260,-4896,-11516,64,53,73,51
-8676,-5488,-11592,64,52,73,51
-8940,-5916,-11672,64,53,73,51
-8936,-6556,-12024,64,52,73,51
-8968,-6900,-12240,63,52,73,51
-9252,-7468,-12268,64,52,73,51
-9460,-7832,-12588,63,52,73,51
-9524,-8280,-12180,63,51,73,50
-9508,-8896,-12240,63,51,73,51
-9148,-9440,-12240,63,50,73,52
-9884,-9684,-11832,63,52,73,51
-10396,-9928,-11076,63,52,73,51
-11264,-10108,-10704,63,51,73,51
-12288,-10044,-10124,63,52,73,51
-13204,-10024,-9648,63,51,73,50
-13980,-9932,-9256,63,51,72,51
-14432,-9976,-8784,63,51,73,51
-15032,-9808,-8304,63,50,73,51
-15552,-9552,-7784,63,50,73,51
-16092,-9428,-7252,63,50,73,51
-16348,-9220,-6992,62,50,72,51
-16752,-9056,-6644,62,50,72,52
-17212,-8960,-6060,62,51,72,52
-17596,-8852,-5616,62,50,72,52
-17836,-8884,-5348,62,51,72,51
-18300,-8640,-4848,62,51,72,51
-18420,-8492,-4508,62,51,72,51
-18692,-8416,-4268,62,50,72,52
-18796,-8164,-3820,62,50,72,51
-18976,-7800,-3544,62,50,71,51
-19472,-7416,-3080,62,50,71,51
-19884,-7020,-2896,61,50,71,51
-20292,-6700,-2576,61,50,71,52
-20584,-6324,-2440,61,49,71,51
-20888,-6004,-2308,61,49,71,52
-21076,-5796,-2108,61,50,71,52
-21388,-5512,-1996,61,50,70,51
-21864,-4892,-1388,61,50,71,52
-21972,-4616,-1412,60,50,71,52
-22364,-4108,-1092,60,50,70,51
-22520,-3472,-848,60,49,70,52
-22576,-2988,-888,60,49,70,51
-22632,-2608,-392,60,49,70,51
-22936,-2092,-124,60,50,70,51
-22664,-1732,-48,60,50,70,51
-22380,-1412,76,60,50,70,50
-22104,-992,200,60,50,70,52
-21508,-600,496,60,49,70,52
-21336,-216,648,60,50,70,51
-21336,380,780,60,50,70,51
-20912,504,920,60,51,70,51
-20580,1024,1176,60,49,70,50
-20468,1320,1360,60,51,70,52
-20400,1416,1548,60,50,70,52
-21424,1356,1740,60,50,70,51
-19040,1692,1508,60,50,70,52
-21076,1592,3008,60,51,70,51
-20272,2172,2492,60,50,69,51
-18836,2656,1840,60,51,69,52
-17760,2968,1536,60,50,70,50
-17196,2860,2104,60,50,69,51
-17580,2748,2156,60,51,70,51
-18496,2228,2948,59,50,69,50
-18848,2096,2996,59,50,69,50
-19244,2452,3012,60,50,69,51
-19448,2080,2936,59,50,69,51
-18720,2060,2996,59,51,69,50
-18212,1980,2888,59,50,69,51
-18076,1920,2772,59,50,69,50
-18160,1724,3004,59,50,69,50
-18424,1796,3040,59,51,69,50
-18676,1936,3192,60,50,69,50
-18652,2044,3332,60,50,68,50
-18484,2140,3332,59,50,69,49
-18528,2168,3428,59,50,69,50
-18332,2292,3364,59,50,68,49
-18224,2008,3168,60,50,68,49
-18876,2128,3484,59,50,69,50
-18628,2012,3236,59,51,68,50
-18392,2132,3476,59,50,68,49
-18424,2512,3552,59,50,68,50
-18380,2456,3592,59,50,68,50
-18216,2316,3544,58,51,68,50
-18388,2088,3884,59,51,68,50
-18328,2032,3824,59,50,68,50
-18480,2184,4060,59,51,68,50
-18100,2140,3872,58,51,67,50
-17892,2056,3496,58,50,67,50
-17828,2100,3548,58,50,68,50
-17712,2284,3356,58,50,67,50
-17520,2392,3200,58,50,67,51
-17360,2512,2920,58,50,67,50
-17064,2320,2072,58,49,67,48
-16772,2144,2140,57,49,67,48
-17072,2096,1888,57,48,67,48
-15556,1596,1604,57,49,67,50
-14296,328,1504,57,49,67,51
-13284,-552,1476,57,48,67,51
-12820,-320,1892,58,48,67,52
-14156,236,3072,57,49,67,52
-15904,536,4036,57,46,67,50
-19960,1744,6460,57,45,67,49
-25672,5740,11120,58,43,67,51
-26548,7920,12600,57,43,66,51
