x,y,z,s1,s2,s3,s4
-32768,-4780,-12596,77,75,85,92
-32768,-6740,-13868,78,76,84,93
-32768,-7296,-13164,79,77,85,92
-32768,-7516,-10740,79,75,86,93
-32768,-7684,-7400,80,77,86,94
-32768,-8096,-5184,81,77,86,94
-32768,-8608,-2692,82,76,87,95
-30392,-8912,-1800,81,77,87,94
-28124,-8632,-2032,82,77,87,95
-24736,-8096,-2540,81,79,88,95
-21808,-7508,-2636,81,78,88,95
-19860,-6108,-2268,82,79,86,95
-18856,-4896,-1788,81,80,88,94
-17532,-2504,-1132,81,79,87,95
-16384,-300,-556,81,80,87,95
-15320,908,-148,82,80,88,95
-14484,2560,-64,81,78,87,95
-14180,3560,48,81,79,88,95
-14536,4968,196,82,79,87,95
-14816,5868,232,80,79,86,95
-15436,7348,360,81,80,87,96
-15788,7992,604,80,81,86,96
-15980,8280,1212,81,80,86,96
-15984,8164,1556,81,80,86,96
-15768,7652,2228,80,81,87,95
-15648,7084,2880,81,79,87,95
-15420,5896,3448,81,80,86,96
-15308,4972,3984,80,80,86,96
-15392,3576,4524,80,80,87,95
-15352,2648,4776,78,80,86,95
-15156,1460,5092,79,81,86,96
-14856,472,5244,79,80,87,95
-14668,-36,5440,79,80,86,94
-14520,-484,5484,78,81,86,95
-14472,-1184,5348,80,81,85,96
-14576,-1528,5268,78,80,86,96
-14696,-1772,4924,79,82,86,95
-14628,-1760,4696,78,81,86,95
-14624,-1716,4068,79,80,86,95
-15036,-1764,3692,79,80,85,95
-15284,-1516,3200,79,80,85,95
-15604,-1528,2836,78,82,84,96
-16252,-1440,2608,78,82,85,96
-16628,-1476,2596,77,81,85,96
-16788,-1588,2440,77,81,84,95
-17056,-1896,2240,76,81,83,95
-17132,-2240,1744,76,82,83,96
-17164,-2560,1616,77,82,83,97
-17088,-2588,1316,76,83,84,96
-17260,-2752,1488,75,83,82,96
-17184,-2684,1388,75,82,83,96
-17236,-2716,1008,73,82,82,97
-17244,-2736,804,74,83,81,96
-17304,-2652,704,74,82,81,96
-17576,-2608,344,74,84,79,97
-17736,-2636,208,74,84,79,96
-17784,-2268,60,73,83,79,97
-17844,-2116,48,71,85,77,97
-17856,-1936,-344,71,85,78,96
-17952,-1924,-416,70,84,77,96
-17872,-1792,-628,70,83,77,97
-17868,-1684,-608,70,85,76,95
-17904,-1604,-700,69,85,75,97
-18008,-1684,-1012,68,84,76,97
-18064,-1792,-1072,67,84,74,95
-18044,-1704,-1148,66,84,74,96
-18128,-1384,-1088,65,85,72,97
-18252,-1188,-1116,65,85,73,97
-18252,-852,-1104,64,85,72,96
-18428,-660,-1388,62,86,70,97
-18536,-388,-1388,63,85,70,96
-18688,-92,-1552,62,84,70,96
-18900,0,-1592,60,86,69,96
-18928,164,-1604,60,85,69,97
-19252,384,-1720,58,86,67,97
-19132,632,-1696,58,86,68,96
-19376,724,-1716,57,86,67,98
-19748,632,-1716,57,87,66,98
-19792,728,-1768,56,86,65,97
-19968,604,-2040,55,85,64,98
-19880,540,-2068,55,87,64,97
-19816,580,-2048,54,86,64,98
-19696,408,-1700,52,87,62,98
-19568,252,-1368,52,86,62,97
-19508,32,-1420,53,88,63,97
-19896,152,-1576,53,86,62,97
-20572,292,-2364,52,88,62,97
-21428,368,-2888,52,87,62,97
-22352,568,-3208,51,87,62,98
-22796,764,-3412,51,87,62,97
-22856,1404,-3644,50,87,62,99
-22868,1628,-3596,49,86,61,98
-23264,1960,-3540,50,85,61,97
-24128,1448,-3248,49,87,61,99
-24132,1204,-3332,50,86,62,98
-23752,688,-3896,51,86,61,98
-23216,104,-4640,48,85,61,97
-22820,-780,-5248,49,84,62,97
-22764,-1784,-5108,48,84,61,96
-22740,-2532,-4544,49,82,61,95
-22684,-3724,-3956,49,81,61,96
-22800,-4320,-3160,50,79,61,95
-23208,-4476,-2444,51,80,62,94
-23524,-4272,-2168,50,79,62,94
-24248,-3864,-1728,50,77,62,92
-25084,-3416,-1284,51,75,61,92
-25516,-3096,-684,51,73,62,93
-25644,-2076,-316,51,73,62,92
-25400,-1012,168,52,71,62,91
-25296,-124,220,51,70,62,91
-25268,1440,380,52,69,61,88
-25212,2488,432,52,68,62,87
-25088,3936,236,52,67,61,88
-25084,5028,332,53,69,61,86
-24768,6004,196,53,68,61,85
-24208,6804,500,54,68,61,85
-23220,7428,920,53,67,60,84
-22340,7588,1204,53,68,61,83
-21568,7760,1804,55,68,60,83
-21512,7616,2244,55,68,61,82
-21584,7156,2864,54,67,61,81
-21612,6928,3500,53,69,61,81
-21456,6168,3648,55,66,60,80
-21180,5452,3804,54,67,61,79
-20980,4884,3908,54,67,60,78
-20316,3992,3796,54,67,60,79
-19936,3396,3748,55,66,61,79
-19200,2672,3844,55,67,60,79
-18692,2444,3668,55,66,61,79
-17608,2516,3472,55,68,60,78
-16736,2848,2868,54,68,61,78
-15148,3368,1920,54,66,60,76
-14320,3452,884,55,66,62,76
-13356,3712,-892,54,68,61,77
-12876,3392,-2108,54,66,60,77
-12844,2064,-3708,55,67,60,76
-13080,504,-4744,55,68,61,77
-13240,-784,-5244,54,68,61,78
-12968,-2624,-5700,54,66,60,78
-12540,-4840,-5244,55,67,62,79
-12392,-6176,-4728,55,67,62,78
-11720,-7812,-3904,55,68,62,78
-10948,-8376,-3116,55,67,61,79
-10328,-7988,-2652,54,68,61,79
-9684,-7312,-2520,55,68,61,79
-9084,-6268,-2736,54,69,61,79
-8804,-5072,-2728,55,69,61,79
-8832,-4248,-3012,55,68,62,78
-8912,-3032,-3228,54,67,62,79
-8932,-2388,-3708,54,67,62,78
-8460,-1372,-3868,55,69,61,79
-7948,-196,-4584,55,69,63,79
-7640,296,-4824,55,68,62,79
-7756,1368,-4860,55,68,62,79
-7772,1820,-5040,55,67,62,78
-7716,2760,-5072,55,68,61,78
-7764,3788,-5044,55,68,61,79
-8504,4616,-4672,54,68,61,77
-8840,5064,-4436,56,68,61,79
-8860,5476,-3992,56,68,62,78
-8396,5516,-3792,55,67,62,79
-8276,5340,-3672,55,66,62,78
-8268,4788,-2992,55,67,61,78
-8220,4656,-2860,55,67,63,77
-8212,3904,-2688,56,68,62,78
-7980,3764,-2600,55,67,62,78
-7384,3316,-2612,55,66,61,78
-7116,2832,-2160,56,67,63,78
-6920,2508,-2104,55,66,62,77
-7064,1972,-1856,55,66,61,78
-7336,1476,-1560,56,66,61,77
-7952,592,-1236,55,67,61,77
-8084,360,-1112,56,68,61,76
-8260,-484,-948,55,66,61,78
-8548,-1100,-544,55,67,62,78
-9276,-1848,-156,55,66,62,77
-9748,-2576,-104,56,66,62,76
-9572,-3008,-152,54,67,61,77
-9644,-3620,52,54,66,62,77
-9736,-4420,112,55,65,62,77
-9996,-5248,580,54,65,62,77
-10620,-6156,772,55,66,62,75
-10812,-6700,940,55,66,61,76
-11292,-7536,1360,55,64,62,77
-11508,-8036,1532,55,65,62,77
-11836,-8680,1964,54,66,61,75
-12064,-9436,2280,54,65,62,75
-12120,-9924,2420,55,64,62,76
-12548,-10500,2700,54,65,61,75
-12948,-11064,2996,55,64,62,75
-13168,-11612,3524,54,65,61,75
-14364,-13104,4208,55,65,61,75
-13296,-11484,3876,56,65,60,74
-13644,-13156,4788,55,66,60,76
-14052,-13552,4940,55,66,61,75
-14472,-14144,5520,55,66,61,75
-14676,-13320,5356,54,66,60,75
-14420,-13420,5812,54,66,61,75
-14476,-13376,5856,55,66,61,76
-14388,-13076,6100,54,67,60,76
-14712,-12668,5884,54,66,61,75
-15140,-12336,6136,54,65,60,75
-15524,-11868,6172,54,65,60,76
-15804,-11368,6668,55,66,61,75
-16188,-10776,6664,55,66,60,76
-16260,-10180,6800,55,65,61,74
-16008,-9660,7040,54,67,60,75
-16024,-9292,7312,54,66,60,74
-16196,-8984,7640,55,67,60,74
-16376,-8448,8004,54,66,60,75
-16676,-7964,8240,54,65,60,76
-16784,-7656,8508,55,67,61,76
-16920,-7040,8636,53,66,61,74
-16904,-6496,8800,54,66,61,75
-16836,-6044,9012,54,66,60,75
-16728,-5552,8996,54,65,60,75
-16840,-5164,9104,55,65,60,74
,,,,,,
,,,,,,
-16620,2492,-4480,82,72,89,83
-16524,2456,-4548,82,72,89,83
-16552,2508,-4544,81,73,89,83
-16560,2524,-4472,81,72,89,83
-16540,2600,-4540,81,72,89,82
-16456,2560,-4524,81,72,89,84
-16384,2564,-4440,82,72,90,84
-16564,2616,-4416,81,72,90,82
-16540,2536,-4476,82,71,89,83
-16492,2652,-4664,82,72,90,82
-16668,2612,-4616,82,72,89,82
-16584,2616,-4588,82,73,90,84
-16580,2664,-4540,82,71,89,83
-16648,2580,-4504,82,73,90,84
-16580,2620,-4564,82,72,88,84
-16644,2672,-4520,82,72,90,84
-16604,2648,-4584,82,72,90,83
-16536,2596,-4548,82,71,89,84
-16540,2684,-4552,82,72,89,83
-16544,2568,-4448,82,73,88,84
-16520,2752,-4432,82,72,88,83
-16544,2676,-4432,82,73,89,83
-16624,2696,-4540,82,72,90,84
-16612,2700,-4396,82,72,89,83
-16592,2712,-4368,82,71,89,84
-16708,2704,-4428,82,72,89,84
-16424,2684,-4428,81,72,89,84
-16552,2680,-4520,82,73,89,83
-16572,2744,-4540,82,72,90,83
-16520,2736,-4464,82,73,89,84
-16520,2696,-4692,83,72,89,85
-16548,2724,-4508,82,72,88,84
-16592,2692,-4544,82,73,89,83
-16644,2668,-4476,83,72,88,84
-16668,2616,-4476,82,72,89,84
-16552,2680,-4548,82,73,90,83
-16468,2736,-4452,81,71,90,85
-16536,2684,-4528,82,72,89,83
-16500,2536,-4620,82,71,90,83
-16552,2568,-4476,82,72,89,83
-16468,2564,-4480,82,72,89,84
-16564,2556,-4588,82,71,89,84
-16572,2612,-4768,82,73,89,84
-16552,2584,-4520,81,73,89,83
-16544,2624,-4504,81,73,90,82
-16540,2584,-4740,82,73,88,83
-16368,2584,-4568,82,72,89,84
-16340,2520,-4708,82,73,90,83
-16384,2452,-4736,81,73,90,83
-16296,2376,-4516,82,72,89,83
-16492,2420,-4692,81,73,89,83
-16524,2376,-4724,82,72,89,84
-16564,2316,-4572,82,74,90,83
-16648,2316,-4696,82,73,89,84
-16704,2396,-4564,82,72,89,84
-16684,2444,-4472,82,73,90,84
-16608,2400,-4656,82,72,89,84
-16504,2424,-4676,82,73,88,83
-16596,2364,-4692,82,72,89,83
-16612,2440,-4524,82,73,89,84
-16572,2480,-4620,82,72,89,84
-16568,2508,-4704,81,72,89,84
