x,y,z,s1,s2,s3,s4
-15064,3400,6400,68,58,73,65
-14432,3376,6084,68,58,73,65
-13400,3284,5572,69,58,73,64
-13232,3120,5400,68,58,73,65
-13604,2972,5232,68,58,73,65
-12852,2924,4104,68,57,73,66
-12740,2772,4376,68,57,73,65
-12824,2500,4092,68,57,73,65
-13056,2664,3604,68,58,73,65
-12436,2348,3284,68,58,73,65
-11740,1964,2808,68,58,73,65
-12060,1740,2964,68,57,73,65
-12412,1184,2588,68,57,73,65
-12000,1184,2524,68,58,73,65
-13232,628,2464,68,57,73,64
-12928,668,2116,68,57,72,64
-11488,244,1856,68,57,72,64
-11840,-320,2148,68,58,72,64
-12248,-352,2040,68,57,72,63
-12612,-564,2148,68,57,72,64
-12728,-500,1844,68,57,72,64
-12552,-716,2008,68,56,72,64
-12292,-1348,1984,68,56,72,63
-12460,-1608,2196,68,57,73,63
-12468,-1764,1968,68,57,72,64
-13596,-1988,2264,68,57,72,63
-13808,-2088,1736,68,57,72,63
-13164,-1904,1248,68,56,72,63
-13536,-2096,1272,68,56,72,63
-13544,-2264,1128,68,57,72,62
-14572,-2236,988,67,57,72,62
-13588,-2788,768,68,56,72,63
-14336,-2664,1092,68,56,72,62
-14960,-2692,544,68,57,72,63
-15080,-2508,496,68,57,72,64
-14948,-2604,336,68,56,72,63
-14892,-2532,156,68,56,72,63
-15164,-2504,60,68,56,72,64
-15208,-2600,-112,67,55,72,63
-15432,-2668,-136,67,56,71,63
-15608,-2468,-124,67,56,72,62
-15596,-2504,-156,68,56,71,63
-15536,-2380,-220,68,56,71,63
-15680,-2284,-152,68,57,72,63
-15604,-2252,252,68,57,72,63
-15668,-2124,48,68,57,72,63
-15716,-2328,256,68,57,71,63
-16080,-2688,376,67,57,71,63
-16076,-2832,336,67,57,72,63
-15900,-2872,196,67,57,71,63
-15708,-2788,-180,67,57,71,62
-15640,-2428,-548,67,57,71,63
-15572,-2144,-1004,67,56,71,63
-15320,-2096,-1208,67,57,71,63
-15324,-1820,-1256,67,56,71,63
-15668,-1784,-1184,67,57,71,63
-15588,-2076,-928,67,56,71,63
-16152,-2412,-504,67,57,71,63
-16024,-2744,-488,67,57,71,63
-15644,-2980,-696,67,57,71,62
-16204,-3140,-508,67,57,71,62
-16144,-3068,-720,67,57,71,62
-15956,-2676,-860,67,57,71,61
-15704,-2520,-1004,67,56,71,61
-15588,-2208,-984,67,57,71,62
-15120,-1928,-1060,67,57,71,62
-15020,-1724,-1000,67,56,71,62
-15056,-1540,-948,67,57,71,62
-15228,-1464,-864,67,56,71,62
-15496,-1432,-936,67,56,71,62
-15684,-1272,-936,67,56,70,61
-15740,-1056,-1216,66,56,70,61
-15804,-1148,-1288,67,56,70,62
-15776,-1232,-1556,67,56,70,62
-15836,-1180,-1600,67,56,70,62
-15900,-1088,-1744,67,56,71,63
-16268,-1004,-1956,67,56,70,63
-16184,-1068,-2096,67,56,70,62
-16568,-1312,-2424,66,56,70,63
-16628,-1396,-2500,67,56,70,62
-16712,-1716,-2648,67,56,70,63
-16936,-1696,-3032,67,56,70,63
-16920,-1652,-3192,66,56,70,63
-16692,-1816,-3388,66,56,69,62
-16564,-1892,-3808,66,56,70,63
-16500,-1688,-4188,66,56,70,63
-16312,-1772,-4280,66,57,70,62
-16052,-1908,-4696,66,56,70,62
-15824,-1780,-5132,66,56,70,61
-15632,-1704,-5508,66,56,70,62
-15488,-1660,-5904,66,57,70,62
-15184,-1716,-6352,66,57,69,61
-14820,-1964,-6744,65,57,69,60
-14464,-1900,-7264,66,57,69,61
-14140,-1960,-7848,65,57,69,60
-13672,-2216,-8112,65,57,70,61
-13156,-2036,-8660,65,56,69,62
-12612,-2028,-9100,65,56,69,60
-11944,-2224,-9860,65,57,69,61
-11136,-1900,-9652,65,58,69,63
-9780,-2232,-11044,65,59,69,65
-8592,-2640,-12516,65,60,69,66
-7196,-3324,-16312,65,61,69,69
-7116,-3168,-19544,65,64,69,72
-7800,-2836,-20472,65,67,69,74
-10572,-2664,-19144,65,69,69,77
-14972,-1828,-16244,65,71,70,77
-21144,-100,-12488,66,72,70,80
-24800,2588,-10864,67,73,72,81
-26564,4840,-9860,69,74,72,82
-28684,8464,-8592,70,75,73,83
-31072,11952,-6160,71,76,75,84
-32768,13644,-5044,72,77,75,85
-32768,14808,-5152,73,78,76,86
-32768,14832,-6944,73,78,77,87
-32768,14368,-8652,73,79,77,88
-32768,12860,-10880,73,79,77,89
-32768,10884,-12868,73,80,78,90
-30292,8796,-13520,74,81,78,91
-26512,6752,-11468,74,82,78,91
-23972,5808,-9260,74,82,78,92
-20192,4520,-4672,74,82,79,92
-17300,2892,-580,75,82,79,93
-16172,1632,1920,75,83,79,93
-16000,-172,4288,75,83,79,94
-16584,-868,4788,75,84,79,94
-17972,-1428,4104,75,84,79,94
-18640,-1460,3064,75,84,79,95
-18780,-1256,1408,75,84,79,95
-18160,-800,36,75,85,79,95
-17072,-540,-844,75,85,79,95
-15356,40,-1764,75,86,79,96
-14440,452,-1820,76,86,79,96
-17572,-848,3460,76,86,80,96
-14208,1964,-3952,76,87,80,97
-12412,1832,-1368,76,87,80,97
-13204,1264,624,76,87,80,97
-14532,800,876,77,88,80,97
-15612,604,1116,76,88,80,98
-17120,488,948,76,88,80,98
-17680,384,764,76,89,80,98
-18532,656,432,77,89,81,98
-18848,872,592,77,89,80,98
-19032,1172,820,77,90,80,98
-18808,1564,820,76,90,80,98
-18440,1976,1192,77,90,81,99
-17900,2572,1464,77,90,81,99
-17460,2968,1844,77,90,81,99
