x,y,z,1,2,3,4
-11312,-2056,3596,70,67,75,65
-11388,-2156,3520,69,66,75,65
-10100,-2572,3528,70,66,75,65
-11272,-2440,3568,70,67,74,64
-10920,-2388,3192,70,67,75,65
-10596,-2888,3052,70,67,75,65
-11420,-2516,2752,70,66,74,67
-11276,-2492,2676,70,67,74,66
-10288,-2756,2240,69,67,74,66
-11584,-2212,2192,69,66,74,66
-12172,-2068,1972,70,66,75,67
-12068,-1916,1376,70,67,74,67
-11276,-2000,1220,70,66,75,66
-12324,-1600,964,69,67,74,66
-12532,-1232,568,69,66,74,66
-12008,-1212,308,69,65,74,66
-12688,-820,224,69,66,74,67
-12440,-628,164,69,67,74,67
-12540,-512,76,70,67,75,66
-12632,-176,108,69,67,74,67
-12496,-44,-136,69,67,74,66
-12656,60,-144,70,67,74,66
-12700,108,-312,70,66,74,67
-12980,-4,-244,69,66,74,66
-13000,-316,-180,69,66,75,67
-12960,-604,88,69,66,74,67
-12872,-824,-80,69,66,74,67
-12592,-992,80,69,66,74,66
-12480,-1160,200,69,65,74,67
-12388,-1184,300,69,66,75,67
-12368,-1312,32,69,66,74,66
-12300,-1412,108,69,67,75,66
-12540,-1440,64,69,66,74,67
-12664,-1452,-32,69,66,74,67
-13032,-1296,44,69,66,74,67
-13188,-1148,-444,69,66,74,67
-13340,-996,-384,69,66,74,66
-13532,-700,-620,69,66,74,66
-13608,-672,-584,69,66,74,66
-13740,-436,-848,69,66,75,67
-13740,-200,-1016,69,66,74,67
-13668,-40,-1044,69,66,74,67
-13632,108,-1168,69,66,74,67
-13584,116,-1156,69,66,74,67
-13492,204,-1252,69,66,74,67
-13524,348,-1420,69,66,74,68
-13524,492,-1432,69,66,74,67
-13536,492,-1664,69,66,74,67
-13380,452,-1724,69,66,74,67
-13392,528,-1680,69,66,74,67
-13356,604,-1932,69,65,74,67
-13600,636,-1872,69,66,74,67
-13520,520,-1988,69,66,74,67
-13820,596,-2048,69,66,74,67
-14160,492,-2092,69,65,74,67
-14332,556,-2136,69,65,74,66
-14472,640,-2276,69,65,74,66
-15080,580,-2444,69,65,74,67
-15536,508,-2268,69,66,74,66
-16060,312,-2276,69,66,74,67
-16348,-156,-1788,69,66,74,67
-16472,-520,-1452,69,65,74,67
-16516,-1224,-1140,69,65,74,67
-16472,-1780,-976,69,65,74,66
-16612,-2104,-752,69,65,74,67
-16724,-2616,-804,69,65,74,66
-16728,-3016,-604,69,65,74,67
-16852,-3248,-664,69,65,74,67
-17212,-3460,-832,69,65,74,66
-17500,-3476,-744,68,65,74,66
-17812,-3452,-768,69,65,73,66
-18064,-3556,-524,69,64,74,66
-18104,-3548,-552,68,64,74,67
-17936,-3464,-508,68,65,74,66
-18144,-3272,-736,68,64,74,67
-17988,-3316,-656,68,64,74,67
-17932,-3280,-740,68,65,74,67
-17860,-3528,-976,68,65,74,67
-17896,-3544,-1132,68,65,74,67
-17688,-3652,-1232,68,64,74,66
-17680,-3612,-1460,68,64,74,66
-17672,-3708,-1696,68,65,74,67
-17696,-3684,-1824,67,66,74,66
-17548,-3536,-1940,67,65,74,66
-17436,-3388,-2240,67,65,74,66
-17264,-3400,-2412,67,64,73,66
-17116,-3412,-2604,68,63,73,66
-16648,-3392,-2932,67,62,73,63
-16156,-3560,-3056,67,63,73,64
-16384,-3968,-3496,67,63,73,64
-16388,-4032,-3608,67,63,73,63
-15108,-3356,-3900,67,64,73,63
-14136,-3176,-4376,66,64,73,63
-14000,-3220,-5236,66,64,73,64
-14284,-3164,-6144,65,65,72,64
-14476,-2844,-6852,65,64,72,64
-14676,-2812,-7148,65,65,72,62
-14152,-2248,-7268,65,66,71,62
-12756,-1416,-6840,65,67,70,63
-10784,-292,-5572,64,73,70,63
-8716,760,-4724,63,71,70,67
-5448,2368,-4768,62,70,69,66
-3880,2368,-7416,62,70,70,67
-2908,1620,-14300,62,71,70,70
-4736,1328,-18328,62,73,69,72
-11908,1420,-21156,62,75,69,74
-18588,2024,-19504,63,76,69,77
-21344,1764,-16920,63,78,69,78
-22056,1108,-12448,63,78,69,80
-22996,1932,-6928,63,79,69,81
-23564,4216,-1364,63,79,69,82
-23432,5840,1400,63,80,70,84
-23324,7700,3316,63,80,70,85
-23480,8648,3428,63,81,70,86
-23596,10520,1556,64,82,70,87
-23468,11500,-2016,64,82,70,88
-22768,11704,-4996,65,82,71,89
-21648,11920,-7664,66,83,71,89
-21892,11572,-9976,67,83,72,90
-20836,12364,-11400,69,84,73,90
-19832,11492,-12392,70,84,75,91
-20840,9740,-12536,72,84,76,92
-22972,8040,-11868,73,85,78,92
-26728,7200,-9364,74,85,79,92
-28732,6500,-7640,76,85,80,93
-31660,4548,-6224,77,85,81,93
-32580,3592,-5708,77,86,82,94
-32768,2856,-6444,78,86,82,94
-32768,1592,-7700,79,86,83,94
-32384,684,-8412,79,86,84,94
-30392,-780,-8996,80,87,85,94
-28156,-2764,-8380,80,87,85,95
-26476,-3888,-7560,81,87,85,96
-24196,-5112,-6156,81,87,86,96
-23280,-6136,-4996,81,87,86,96
-23352,-6696,-4092,82,88,86,96
-23704,-7056,-2792,82,88,86,96
-24264,-7208,-2552,82,88,86,97
-24396,-6580,-3092,82,88,86,97
-24168,-6076,-3768,82,89,86,97
-23660,-5340,-4232,82,89,87,97
-22556,-4644,-4188,82,89,87,97
-21244,-3732,-3472,82,90,87,98
-20416,-3108,-2948,82,90,86,98
-19344,-1784,-1924,82,90,86,98
-18264,-256,-876,82,90,86,98
-17932,804,-100,82,90,86,99
-17452,1944,668,82,91,86,98
-17556,2984,1084,82,91,86,99
-17472,3924,1836,82,91,86,99
-17324,4764,2408,82,91,86,99
-17448,5976,3156,81,91,86,99
-18712,6124,2948,81,91,86,99
-15492,8168,4040,81,91,86,99
-13736,8860,4780,81,91,85,99
-13068,9112,4808,81,91,85,99
-12532,9580,4996,81,91,85,99
-12796,9740,5060,81,91,85,99
-13436,9428,5200,81,91,85,99
-14204,9240,5300,81,92,85,99
-14844,8588,4868,81,92,85,99
-15068,8380,4800,81,92,85,99
-15260,7604,4556,80,92,85,99
-15052,6784,4460,80,92,85,99
-15064,6384,4056,80,92,85,100
-15196,5528,4184,80,92,85,100
-15316,5008,4184,80,92,85,100
-15464,4256,4140,80,92,85,99
-15640,3388,4084,80,92,85,99
-15840,2800,3856,80,92,85,100
-15908,2080,3624,80,92,85,100
-16084,1480,3304,80,92,85,99
-16296,672,3092,80,92,85,100
-16332,280,2896,80,92,85,100
-16324,-448,2632,80,93,85,100
-16252,-880,2604,79,93,85,100
-16288,-1112,2708,79,93,85,100
-16216,-1356,3032,79,93,85,100
-16060,-1424,3088,79,93,85,100
-15996,-1312,3284,79,93,85,100
-15852,-1208,3384,79,93,85,100
-15836,-816,3460,78,93,85,100
-15756,-420,3588,78,93,85,100
-15708,-176,3584,78,93,85,100
-15628,212,3824,78,93,85,100
-15472,316,4176,78,93,85,100
-15388,848,4120,78,93,85,100
-15292,1284,4304,79,93,84,100
-15400,1736,4500,78,93,84,100
-15204,2132,4768,78,93,84,100
-15332,2516,4960,79,94,84,100
-15048,2968,4908,78,94,85,100
-15080,3276,4884,78,94,84,100
-15048,3500,4848,78,93,84,100
-15228,3644,4600,78,94,84,100
-15516,3760,4700,78,94,84,100
-15548,3724,4420,78,94,84,100
-15852,3816,4272,79,94,85,100
-16036,4012,4172,79,94,85,100
-16160,4060,4132,78,94,85,100
-16336,4176,3828,78,94,84,100
-16372,3992,3432,78,94,85,100
-16460,4012,3312,78,94,85,100
-16472,3812,3156,79,94,85,100
-16384,3480,3152,79,94,85,100
-16296,3136,3004,78,94,85,100
-16300,2964,2968,79,94,85,100
-16268,2720,3308,79,94,85,100
