x,y,z,1,2,3,4
-17224,-528,-2196,68,64,74,64
-16996,-36,-1820,68,63,74,64
-16812,312,-1608,68,63,74,64
-16652,552,-1472,68,62,74,63
-16732,992,-1268,68,63,74,64
-16904,1068,-1136,68,63,74,64
-17072,1236,-876,68,62,74,64
-17256,1468,-936,68,62,74,63
-17256,1552,-692,68,62,74,63
-17280,1580,-524,68,62,74,64
-17352,1416,-528,68,63,74,64
-17260,1492,-532,68,62,74,64
-17312,1400,-708,67,62,73,64
-17060,1532,-784,68,62,73,64
-16896,956,-672,67,63,73,64
-17420,1856,-376,67,63,73,64
-17240,-104,-512,67,62,73,63
-16476,564,-908,67,63,73,63
-17308,688,-700,67,63,73,64
-17364,1192,-572,67,63,73,63
-17676,536,-804,67,63,73,64
-17176,-264,-728,67,63,73,64
-17248,-768,-784,67,62,73,63
-17136,-664,-1012,67,63,72,63
-17448,-1648,-948,67,62,73,62
-17112,-1068,-1192,67,62,73,63
-17428,-1232,-1256,67,62,73,63
-18296,-956,-816,66,62,72,63
-19116,-1424,-428,67,61,72,63
-18596,-1296,-1532,67,61,72,63
-18844,-1624,-1352,67,61,72,64
-19052,-1540,-1224,66,61,72,63
-18676,-1592,-1372,67,62,72,64
-17908,-1716,-1752,66,61,72,63
-17636,-1692,-1956,66,61,72,64
-17672,-1628,-1956,66,62,72,64
-17324,-1992,-2328,66,61,72,63
-16712,-2216,-2416,66,61,72,63
-16716,-1996,-2524,66,61,72,64
-16792,-2496,-2700,66,61,72,63
-16800,-2428,-2968,66,61,72,63
-16932,-2892,-3068,66,62,72,63
-16572,-2944,-3008,66,62,72,63
-16216,-3048,-3176,66,61,71,64
-16388,-2572,-3480,66,61,71,63
-17056,-3056,-3240,66,60,71,62
-17008,-2904,-3568,66,61,71,63
-17592,-2540,-3568,66,61,71,63
-17916,-2548,-3260,66,61,71,63
-17908,-2668,-3388,66,61,71,63
-17596,-2744,-3800,66,61,71,63
-17488,-2888,-3688,65,62,71,63
-17256,-3140,-3796,66,61,71,63
