x,y,z,s1,s2,s3,s4
-16172,552,-5772,88,77,94,77
-16220,488,-5736,88,77,95,77
-16288,424,-5680,88,77,94,77
-16488,380,-5820,87,77,95,77
-16548,496,-5700,88,77,95,77
-16624,564,-5796,88,77,95,78
-16716,652,-5720,88,77,95,78
-16820,636,-5844,88,77,95,78
-16872,888,-5788,88,77,95,78
-16944,1008,-5912,88,77,95,78
-16812,1152,-5996,88,77,95,78
-16660,1372,-5812,88,77,95,78
-16480,1208,-5792,88,77,95,78
-16364,1280,-5844,88,77,95,78
-16540,1444,-5860,88,77,95,78
-16568,1344,-5736,88,77,95,78
-16368,1420,-5844,88,77,95,79
-16244,1500,-6100,88,77,95,79
-16096,1388,-6312,88,77,95,79
-16048,1496,-6552,88,77,95,80
-16060,1468,-6460,88,77,95,80
-16028,1344,-6640,88,77,95,80
-15944,1440,-6812,88,77,95,80
-15996,1456,-6948,88,77,95,80
-16172,1524,-6752,88,77,95,80
-16592,1528,-6788,88,77,95,81
-16852,1492,-6988,88,77,95,80
-17152,1488,-6868,88,77,95,81
-17440,1492,-6704,88,77,95,81
-17512,1520,-6420,88,77,95,81
-17684,1440,-6492,88,77,95,81
-17876,1324,-6224,89,77,95,81
-17904,1304,-6008,88,77,95,82
-17924,1136,-5888,88,77,95,81
-17740,1048,-5708,88,77,95,82
-17596,940,-5616,88,76,95,81
-17420,768,-5364,88,77,95,82
-17276,684,-5312,88,77,95,82
-16900,472,-5300,88,78,95,82
-16948,268,-5068,89,77,95,82
-16796,416,-5016,89,77,95,82
-16816,268,-5188,88,77,95,82
-16784,272,-5200,89,77,95,82
-16872,336,-5200,88,77,95,82
-16844,332,-5364,88,77,95,82
-17036,212,-5312,88,77,95,82
-17192,408,-5516,88,77,95,82
-17300,520,-5420,88,77,95,82
-17596,548,-5564,88,77,95,82
-17664,752,-5488,88,77,95,83
-17768,836,-5636,88,77,95,83
-17880,980,-5568,88,77,95,83
-17916,1236,-5556,88,77,95,83
-18056,1256,-5336,88,77,95,82
-17880,1320,-5508,88,77,95,82
-17936,1340,-5308,88,77,94,82
-17636,1324,-5296,88,77,94,82
-17636,1488,-5148,88,77,94,82
-17672,1472,-5180,88,77,94,83
-18012,1536,-4968,88,77,94,82
