x,y,z,s1,s2,s3,s4
-18564,-72,-4552,44,46,53,47
-18268,-1452,-4248,44,46,52,46
-18320,-972,-3968,44,45,52,46
-20596,-512,-3104,44,43,52,46
-21360,-1248,-3440,44,44,52,45
-21180,-1772,-4388,43,44,52,45
-20508,-2300,-5436,43,44,51,45
-19608,-1972,-5456,43,43,51,45
-19616,-2412,-5524,43,43,51,44
-19200,-2420,-5748,43,43,51,45
-18396,-2476,-5992,43,42,51,44
-17476,-2192,-6244,43,42,52,43
-16804,-1836,-6648,43,43,51,44
-16348,-1268,-7340,43,42,51,44
-15808,-600,-7648,43,43,51,44
-14696,264,-8380,43,43,51,44
-13640,796,-8376,43,44,51,43
-13212,1068,-8524,43,44,51,43
-12424,1288,-8808,43,44,51,44
-11484,1544,-8880,44,44,51,44
-11036,1620,-8860,43,44,52,43
-10476,1844,-8720,43,43,52,44
-10412,1752,-8524,43,44,51,44
-10376,1524,-7896,43,44,51,44
-10620,1316,-7408,43,44,51,45
-10700,1276,-7300,44,44,51,45
-10656,1340,-7240,43,44,51,45
-10468,1880,-7404,44,44,51,44
-10360,2072,-7620,43,44,51,45
-10208,2880,-8380,43,43,51,45
-9796,3780,-8860,43,43,51,45
-9604,4472,-9168,43,44,51,45
-9520,5188,-9424,43,44,51,45
-9408,5864,-9284,43,44,51,45
-9568,6584,-9088,43,44,51,46
-9648,7312,-8728,43,43,51,45
-9672,7848,-8324,43,43,50,44
-9568,8156,-8012,43,43,51,45
-9500,8856,-7476,43,44,50,45
-9428,9084,-7304,43,44,51,45
-9388,9324,-6608,43,43,50,46
-9404,9532,-6196,43,43,50,45
-9440,9636,-5824,43,43,50,45
-9272,9724,-5644,42,43,50,45
-9168,9964,-5436,43,43,50,45
-9152,10116,-5048,43,44,50,46
-9132,10072,-5044,43,43,50,45
-9108,9824,-4656,43,43,49,46
-9152,9708,-4456,43,43,50,46
-9112,9540,-4424,43,44,50,45
-9144,9284,-4336,43,44,49,46
-9360,9164,-4380,43,43,49,46
-9576,8912,-4380,43,43,49,45
-9608,8740,-4416,42,43,50,46
-9828,8468,-4604,43,43,50,47
-9976,8348,-4668,42,43,49,46
-10068,7960,-4824,43,43,49,46
-10368,7756,-4856,42,43,49,46
-10556,7668,-4928,43,43,49,46
-10964,7348,-4748,42,44,49,46
-11296,7212,-4840,42,43,48,46
-11572,7048,-4700,42,43,49,46
-11848,6744,-4624,42,43,49,46
-12080,6444,-4416,42,43,49,46
-12208,6472,-4296,42,44,49,46
-12596,6168,-4080,42,43,49,47
-12672,6040,-3988,42,44,49,47
-12872,5836,-3820,42,43,48,46
-12896,5580,-3628,42,43,49,45
-13092,5292,-3428,42,43,48,45
-13488,4860,-3200,42,44,48,46
-13700,4372,-3344,42,43,48,46
-13880,4248,-3192,42,44,48,46
-14048,3944,-3160,41,43,49,46
-14224,3520,-3260,42,43,48,45
-14464,3152,-3412,42,43,48,46
-14652,2732,-3308,41,44,48,46
-14844,2564,-3576,42,44,48,46
-14940,2148,-3636,42,43,48,46
-15164,1944,-3816,42,43,48,46
-15288,1728,-3844,41,43,48,46
-15420,1512,-3900,41,43,47,45
-15536,1288,-4088,41,43,48,45
-15620,1176,-4012,41,44,47,46
-15748,1028,-4140,41,43,48,45
-15756,956,-4040,41,44,48,45
-15800,816,-4104,41,43,48,45
-15820,704,-4228,41,42,47,45
-15820,652,-4236,41,43,48,46
-15916,532,-4136,41,44,48,45
-15904,528,-4196,41,43,47,45
-15824,528,-4076,40,43,48,46
-15816,396,-4196,41,43,47,45
-15808,256,-4200,40,43,47,45
-15892,340,-4212,40,43,47,45
-15976,332,-3972,40,43,47,45
-16104,312,-3948,41,42,47,44
-15952,168,-4052,40,43,47,45
-15428,216,-3960,40,43,47,45
-15196,140,-3984,40,42,47,45
-15360,144,-3760,40,43,47,45
-15608,280,-3572,39,42,46,45
-15880,156,-3328,40,42,47,45
-16144,316,-3056,40,42,47,45
-16312,384,-2672,40,42,46,45
-16340,352,-2256,40,42,47,45
-16384,536,-2040,40,42,46,45
-16660,540,-1764,39,42,47,44
-16760,672,-1560,39,42,47,45
-16976,660,-1064,39,42,47,45
-17012,852,-796,39,42,47,44
-17304,648,-304,39,41,47,45
-17424,760,-16,40,42,46,45
-17748,624,180,39,42,46,44
-17872,564,260,39,42,46,44
-18032,544,364,39,42,46,44
-17988,252,472,39,42,46,44
-18096,208,300,39,42,46,44
-18140,72,208,39,41,46,45
-18096,-16,-80,39,41,47,44
-18216,-164,-60,39,42,46,44
-18236,-312,-196,39,41,46,44
-18184,-408,-480,39,41,46,44
-18076,-540,-692,39,42,46,45
-18120,-580,-848,38,42,45,44
-17884,-544,-932,39,42,46,45
-17764,-620,-1024,38,42,46,44
-17636,-724,-1196,38,42,46,44
-17360,-712,-1316,38,42,45,45
-17520,-748,-1420,38,42,46,45
-17248,-828,-1376,38,42,45,45
-17240,-812,-1572,38,41,46,44
-17308,-796,-1476,38,42,46,45
-17364,-932,-1548,38,41,45,45
-17412,-936,-1644,37,40,45,44
-17440,-1020,-1536,37,42,45,44
-17628,-1136,-1488,38,41,45,45
-17692,-1068,-1484,37,42,46,45
-17780,-1116,-1628,37,42,45,44
-17888,-1068,-1476,37,41,45,44
-18012,-1364,-1536,37,42,45,44
-17960,-1328,-1408,37,41,44,45
-17960,-1384,-1328,37,41,45,44
-17992,-1340,-1380,38,41,44,43
-18104,-1324,-1168,37,42,45,45
-18088,-1344,-1132,37,41,45,44
-18176,-1468,-1100,36,41,45,44
-18168,-1512,-948,37,41,45,43
-18200,-1692,-968,36,41,45,44
-18200,-1744,-924,37,42,45,44
-18020,-1748,-560,36,40,45,43
-17916,-1856,-656,36,40,44,44
-17740,-1848,-612,36,40,44,44
-17420,-1908,-424,36,40,44,44
-17252,-2044,-220,36,41,44,44
-16984,-2060,-344,36,41,44,43
-16964,-2232,-52,36,40,44,44
-16804,-2260,-264,35,41,44,44
-16728,-2396,-108,36,40,44,44
-16504,-2428,-64,36,40,44,44
-16664,-2404,160,35,41,44,44
-16736,-2468,-12,35,40,44,44
-16572,-2492,92,36,41,44,43
-16452,-2388,256,35,40,44,44
-16520,-2488,192,35,40,44,43
-16836,-2448,188,35,40,44,42
-16680,-2288,156,35,39,43,44
-16892,-2160,76,35,40,44,44
-17092,-2128,48,35,40,44,43
-17312,-2004,40,35,39,44,43
-17384,-1848,204,35,40,44,44
-17376,-1772,4,35,39,44,43
-17504,-1828,472,35,40,44,43
-17592,-1776,188,36,39,44,44
-17520,-1620,44,35,40,44,44
-17324,-1556,184,35,39,44,44
-17116,-1424,-12,35,40,43,44
-16856,-1232,-292,35,39,43,43
-16656,-1160,-548,35,39,43,44
-16484,-972,-780,35,39,43,43
-15820,-828,-964,35,39,43,44
-15560,-744,-1212,35,40,43,43
-15236,-760,-1404,35,38,43,44
-15136,-768,-1128,35,37,43,44
-14076,-904,-584,35,38,43,44
-15476,1516,1400,35,40,44,46
-15956,1932,3096,35,38,44,46
-20620,-336,8196,36,39,44,47
-24272,-720,12820,35,38,45,47
-24236,-1360,14624,35,39,44,48
-22804,-3060,16936,36,40,44,48
-23700,-5764,21168,36,41,45,48
-25316,-9420,24184,36,43,44,50
-24584,-10568,20716,37,44,44,51
-21280,-12324,17544,38,45,44,51
-18688,-13364,14960,42,46,45,51
-17976,-14436,8328,45,47,48,52
-16100,-13632,-2772,48,48,52,53
-12832,-11832,-14012,49,49,54,52
-14516,-12132,-24508,50,49,57,54
-15008,-16456,-32768,51,50,58,54
-16612,-19912,-32768,52,49,59,56
-19020,-20672,-32768,52,50,60,56
-23996,-19520,-32768,53,50,61,57
-29696,-20396,-32768,53,51,61,57
-32768,-19596,-31840,53,51,62,58
-32768,-12784,-23600,53,51,62,58
-32768,-3532,-16648,53,51,62,59
-32768,6040,-10292,53,51,62,58
-32768,11016,-5464,53,52,62,60
-30516,14600,888,53,52,63,60
-31200,19008,8956,53,52,62,60
-29576,17016,11612,54,51,63,60
-28204,15856,15280,53,53,62,60
-25920,15744,15400,53,51,62,60
-23824,15312,13780,54,52,63,60
-17316,12164,8672,53,53,63,60
-10472,8460,4188,54,53,63,61
-6524,6752,1792,54,53,63,61
-1808,4492,-1356,53,54,62,60
784,3480,-2992,54,53,62,60
3196,3888,-4840,53,53,62,60
3308,3968,-5656,54,55,63,60
832,4856,-5600,54,54,62,61
-2284,5432,-5280,54,55,63,61
-7216,6348,-3748,54,54,63,60
-9548,6668,-2428,54,54,62,60
-12632,7488,-912,54,54,62,61
-14988,8452,296,54,54,62,60
-17680,9744,872,54,54,62,61
-18964,10240,1044,54,54,63,61
-19984,10184,676,54,54,62,61
-20396,9744,404,54,55,62,61
-19828,8500,-816,53,56,62,61
-18840,7240,-1340,54,55,62,60
-17064,4924,-2160,53,55,61,60
-15036,2864,-2892,53,55,62,60
-14060,1520,-3128,54,55,62,61
-12684,-180,-3420,53,56,62,60
-11544,-2072,-3292,54,56,62,60
-11420,-3356,-3392,54,56,61,61
-12004,-5572,-3268,53,55,61,60
-12540,-7292,-3144,53,56,62,60
-12916,-8000,-3012,53,56,61,61
-13560,-9176,-3084,53,56,61,61
